PredictedScore,BIRD_5,D240,BIRD_4,PUTTS,D260,Prediction
Ryan Palmer,49.31,6.16,21.44,29.1,17.73,270.0966206916651
C.T. Pan,43.94,15.8,18.04,28.66,27.2,272.2365264038449
Eddie Pepperell,,,,,,
Pat Perez,44.44,15.36,17.02,28.88,28.93,272.37466408883427
Rod Perry,,,,,,
Scott Piercy,44.79,10.64,20.34,28.64,24.29,271.61934935582343
Thomas Pieters,,,,,,
Ian Poulter,56.25,12.35,18.42,29.25,23.24,269.1429956677794
Andrew Putnam,44.52,18.24,20.38,28.7,29.12,272.6290527350879
Jon Rahm,53.38,5.67,18.2,28.7,13.55,268.0389178389902
Chez Reavie,46.77,13.08,18.69,28.91,26.37,271.5740377428948
Patrick Reed,47.56,10.98,17.88,28.83,18.5,270.35471987934477
Justin Rose,55.0,7.14,20.45,27.15,13.03,266.46410338060343
Casey Russell,,,,,,
Xander Schauffele,57.24,9.04,20.91,28.67,13.56,267.44225269270174
Jeff Schmid,,,,,,
Cory Schneider,,,,,,
Adam Scott,58.04,6.25,17.13,29.19,20.98,267.9919845017212
Webb Simpson,47.01,10.19,19.08,28.4,26.54,270.95340435193737
Vijay Singh,,,,,,
Cameron Smith,43.33,10.85,20.17,28.2,22.22,271.38782739869924
Brandt Snedeker,47.96,11.71,16.15,28.28,25.79,270.3920070792029
J.J. Spaun,45.74,11.31,16.93,29.44,23.41,271.77704162932696
Jordan Spieth,47.89,10.61,20.0,28.12,22.73,270.20428517817373
Kyle Stanley,42.11,8.47,13.58,29.5,24.34,272.41472751767236
Henrik Stenson,45.65,10.86,13.81,29.81,30.92,272.6019526973763
Richard Sterne,,,,,,
Brandon Stone,,,,,,
Steve Stricker,,,,,,
Julian Suri,,,,,,
Justin Thomas,60.61,8.08,22.22,28.9,16.16,267.1114266283441
Michael Thompson,48.75,14.33,16.5,28.4,26.28,270.5180671336507
Martin Trainer,49.07,5.06,13.95,28.69,16.67,269.0507702988773
Kevin Tway,45.73,7.54,15.15,29.28,15.09,270.4768935248996
Erik van Rooyen,,,,,,
Harold Varner III,41.07,9.59,18.18,29.02,17.29,271.96995214918695
Jhonattan Vegas,50.57,8.79,17.49,29.06,14.47,269.2625297083097
Ryan Vermeer,,,,,,
Jimmy Walker,43.53,10.92,13.01,28.96,16.6,270.9078247045071
Matt Wallace,42.68,8.73,16.54,28.83,13.49,270.8526590497728
Bubba Watson,54.17,4.76,15.17,29.71,10.71,268.1734336482459
Richy Werenski,43.62,11.62,16.75,28.36,25.0,271.50852117593223
Lee Westwood,,,,,,
Danny Willett,46.09,11.39,12.29,29.74,21.67,271.4298313483734
Aaron Wise,48.59,6.84,20.87,29.2,11.32,269.7256501706395
Gary Woodland,58.29,7.11,21.08,29.46,11.18,267.5546214820982
Tiger Woods,45.83,10.48,20.19,29.65,22.38,272.0461872739197
Y.E. Yang,,,,,,
