PredictedScore,STRIKE,PAR5,DRIVE,PUTT3_25,GIR,Prediction
C.T. Pan,41.0,4.63,139.0,6.96,71.2,142.62620137749417
Pat Perez,172.0,4.66,187.0,7.28,67.78,142.40929675273526
Kenny Perry,,,,,,
Scott Piercy,50.0,4.63,128.0,12.66,69.72,142.14654140397354
J.T. Poston,107.0,4.73,155.0,9.35,68.31,141.40104800983428
Jr. Potter,,,,,,
Ian Poulter,134.0,4.62,146.0,5.96,67.01,141.3643329475639
Seamus Power,253.0,4.6,216.0,8.41,65.17,142.64278870017645
Alex Prugh,,,,,,
Andrew Putnam,152.0,4.7,229.0,8.99,70.47,144.06646234307203
Jon Rahm,61.0,4.57,145.0,12.18,70.12,143.06452345975336
Chez Reavie,129.0,4.73,176.0,6.5,68.67,141.87535955081242
Patrick Reed,327.0,4.6,256.0,9.8,63.57,143.0824128108585
Seth Reeves,,,,,,
Wes Roach,,,,,,
Andres Romero,,,,,,
Rory Sabbatini,206.0,4.57,224.0,10.26,67.85,144.05136924503148
Adam Schenk,144.0,4.68,171.0,8.53,67.92,141.9869750604644
Ollie Schniederjans,330.0,4.64,241.0,8.57,62.77,142.13167385467017
Charl Schwartzel,339.0,4.73,238.0,12.35,61.11,140.98786923532052
Adam Scott,25.0,4.64,117.0,12.46,70.66,142.1632315233324
John Senden,,,,,,
Shubhankar Sharma,,,,,,
Cameron Smith,312.0,4.58,232.0,9.68,63.18,142.543226138441
J.J. Spaun,44.0,4.63,114.0,8.87,69.48,141.54849012165312
Scott Stallings,247.0,4.63,221.0,8.43,65.62,142.69537082612982
Kyle Stanley,15.0,4.64,105.0,6.77,71.09,141.76730657359147
Brendan Steele,58.0,4.64,121.0,12.16,69.24,141.750445074462
Shawn Stefani,211.0,4.59,223.0,10.45,67.49,143.7719587940918
Henrik Stenson,38.0,4.55,140.0,5.98,73.51,144.1327769401088
Sepp Straka,,,,,,
Robert Streb,317.0,4.73,311.0,8.58,64.94,143.65813050167094
Kevin Streelman,26.0,4.63,119.0,8.1,71.56,142.418314819048
Chris Stroud,333.0,4.71,245.0,9.54,62.94,141.86248705976084
Brian Stuard,193.0,4.73,198.0,7.29,67.12,141.93280960411295
Adam Svensson,,,,,,
Hudson Swafford,43.0,4.61,98.0,14.11,68.99,141.4761085456935
Nick Taylor,219.0,4.63,231.0,11.75,67.65,143.81914695797423
Vaughn Taylor,195.0,4.62,196.0,10.86,67.02,142.82378219358515
Josh Teater,,,,,,
D.J. Trahan,,,,,,
Cameron Tringale,313.0,4.71,353.0,10.51,65.52,144.89705913688914
Kevin Tway,208.0,4.56,203.0,7.09,66.88,143.14987749782202
Peter Uihlein,220.0,4.58,236.0,12.42,67.88,144.39718483583698
Harold Varner III,120.0,4.6,149.0,9.35,67.79,142.02374801046764
Jhonattan Vegas,210.0,4.62,176.0,12.63,65.17,141.82622962620638
Johnson Wagner,223.0,4.62,237.0,5.61,67.87,143.76376926841854
Nick Watney,157.0,4.69,181.0,5.77,67.96,142.01884989171225
Bubba Watson,107.0,4.54,151.0,7.93,68.21,142.51797042195182
Boo Weekley,,,,,,
Richy Werenski,181.0,4.63,179.0,9.37,66.97,142.27869936441823
Chase Wright,,,,,,
José de Jesús Rodríguez,,,,,,
Fabián Gómez,171.0,4.63,190.0,6.51,67.86,142.65749347220125
Ben Silverman,235.0,4.65,190.0,8.51,64.95,141.65664445793533
Brady Schnell,,,,,,
John Chin,,,,,,
Chad Collins,,,,,,
Kris Blanks,,,,,,
Tyrone Van Aswegen,308.0,4.67,303.0,8.77,65.23,144.0244078349677
George McNeill,,,,,,
Brendon Todd,,,,,,
