PredictedScore,STRIKE,PAR5,DRIVE,PUTT3_25,GIR,Prediction
Pat Perez,172.0,4.66,187.0,7.28,67.78,274.8088042556799
Kenny Perry,,,,,,
Scott Piercy,50.0,4.63,128.0,12.66,69.72,269.8697821404789
J.T. Poston,107.0,4.73,155.0,9.35,68.31,273.2396355687369
Jr. Potter,,,,,,
Ian Poulter,134.0,4.62,146.0,5.96,67.01,274.0000035016823
Seamus Power,253.0,4.6,216.0,8.41,65.17,274.26083777808003
Alex Prugh,,,,,,
Andrew Putnam,152.0,4.7,229.0,8.99,70.47,274.05786026374955
Jon Rahm,61.0,4.57,145.0,12.18,70.12,269.50497228494106
Chez Reavie,129.0,4.73,176.0,6.5,68.67,275.0707432212053
Patrick Reed,327.0,4.6,256.0,9.8,63.57,274.4053270440362
Seth Reeves,,,,,,
Wes Roach,,,,,,
Andres Romero,,,,,,
Rory Sabbatini,206.0,4.57,224.0,10.26,67.85,272.5724732535714
Adam Schenk,144.0,4.68,171.0,8.53,67.92,273.85927771823094
Ollie Schniederjans,330.0,4.64,241.0,8.57,62.77,275.57356729777973
Charl Schwartzel,339.0,4.73,238.0,12.35,61.11,274.2227530155584
Adam Scott,25.0,4.64,117.0,12.46,70.66,270.06120102098157
John Senden,,,,,,
Shubhankar Sharma,,,,,,
Cameron Smith,312.0,4.58,232.0,9.68,63.18,274.10458518165666
J.J. Spaun,44.0,4.63,114.0,8.87,69.48,271.6412542633019
Scott Stallings,247.0,4.63,221.0,8.43,65.62,274.5030726127922
Kyle Stanley,15.0,4.64,105.0,6.77,71.09,272.961526701515
Brendan Steele,58.0,4.64,121.0,12.16,69.24,270.5174264020235
Shawn Stefani,211.0,4.59,223.0,10.45,67.49,272.7381266868265
Henrik Stenson,38.0,4.55,140.0,5.98,73.51,273.91738904738406
Sepp Straka,,,,,,
Robert Streb,317.0,4.73,311.0,8.58,64.94,274.98266216190854
Kevin Streelman,26.0,4.63,119.0,8.1,71.56,272.6129528834932
Chris Stroud,333.0,4.71,245.0,9.54,62.94,276.1700805338868
Brian Stuard,193.0,4.73,198.0,7.29,67.12,275.7638991819677
Adam Svensson,,,,,,
Hudson Swafford,43.0,4.61,98.0,14.11,68.99,269.2369487407118
Nick Taylor,219.0,4.63,231.0,11.75,67.65,272.8813184075359
Vaughn Taylor,195.0,4.62,196.0,10.86,67.02,272.84959192563167
Josh Teater,,,,,,
D.J. Trahan,,,,,,
Cameron Tringale,313.0,4.71,353.0,10.51,65.52,272.3989300592084
Kevin Tway,208.0,4.56,203.0,7.09,66.88,274.02153922051986
Peter Uihlein,220.0,4.58,236.0,12.42,67.88,271.97475070273987
Harold Varner III,120.0,4.6,149.0,9.35,67.79,272.0415578868478
Jhonattan Vegas,210.0,4.62,176.0,12.63,65.17,272.0942257001857
Johnson Wagner,223.0,4.62,237.0,5.61,67.87,275.6441459375803
Nick Watney,157.0,4.69,181.0,5.77,67.96,275.50659654538066
Bubba Watson,107.0,4.54,151.0,7.93,68.21,271.51264867301364
Boo Weekley,,,,,,
Richy Werenski,181.0,4.63,179.0,9.37,66.97,273.5955303428128
Chase Wright,,,,,,
José de Jesús Rodríguez,,,,,,
Fabián Gómez,171.0,4.63,190.0,6.51,67.86,274.65937557851606
Ben Silverman,235.0,4.65,190.0,8.51,64.95,274.83567997154205
Brady Schnell,,,,,,
John Chin,,,,,,
Chad Collins,,,,,,
Kris Blanks,,,,,,
Tyrone Van Aswegen,308.0,4.67,303.0,8.77,65.23,274.2428309509602
George McNeill,,,,,,
Brendon Todd,,,,,,
