PredictedScore,STRIKE,PAR5,DRIVE,PUTT3_25,GIR,Prediction
Sam Saunders,196.0,4.58,159.0,6.23,65.02,147.36171523065275
Adam Schenk,144.0,4.68,171.0,8.53,67.92,147.62141060000343
Brady Schnell,,,,,,
Ollie Schniederjans,330.0,4.64,241.0,8.57,62.77,148.27592737724177
Steve Scott,,,,,,
John Senden,,,,,,
Ben Silverman,235.0,4.65,190.0,8.51,64.95,147.48809928437672
Webb Simpson,185.0,4.54,207.0,6.25,67.93,147.74711459642566
Roger Sloan,,,,,,
Scott Stallings,247.0,4.63,221.0,8.43,65.62,148.1232656397733
Kyle Stanley,15.0,4.64,105.0,6.77,71.09,146.39060221817118
Brendan Steele,58.0,4.64,121.0,12.16,69.24,148.2431214458331
Shawn Stefani,211.0,4.59,223.0,10.45,67.49,148.45010739746655
Henrik Stenson,38.0,4.55,140.0,5.98,73.51,144.5446034693324
Sepp Straka,,,,,,
Robert Streb,317.0,4.73,311.0,8.58,64.94,150.82538042690587
Kevin Streelman,26.0,4.63,119.0,8.1,71.56,146.37555549982096
Chris Stroud,333.0,4.71,245.0,9.54,62.94,148.1113810296414
Zack Sucher,,,,,,
Adam Svensson,,,,,,
Hudson Swafford,43.0,4.61,98.0,14.11,68.99,148.26991110681186
Nick Taylor,219.0,4.63,231.0,11.75,67.65,148.4304909403965
Vaughn Taylor,195.0,4.62,196.0,10.86,67.02,148.09437097462546
Josh Teater,,,,,,
Chris Thompson,,,,,,
Michael Thompson,66.0,4.63,147.0,7.54,70.11,147.71675058169467
Brendon Todd,,,,,,
Martin Trainer,,,,,,
Cameron Tringale,313.0,4.71,353.0,10.51,65.52,153.59850813949885
Peter Uihlein,220.0,4.58,236.0,12.42,67.88,148.69159854158488
Harold Varner III,120.0,4.6,149.0,9.35,67.79,148.04988799611291
Jhonattan Vegas,210.0,4.62,176.0,12.63,65.17,148.4862854301108
Johnson Wagner,223.0,4.62,237.0,5.61,67.87,147.32649276577297
Jimmy Walker,347.0,4.74,256.0,10.31,61.9,149.40765626011813
Nick Watney,157.0,4.69,181.0,5.77,67.96,147.00701170446786
Richy Werenski,181.0,4.63,179.0,9.37,66.97,147.51943016400406
Danny Willett,,,,,,
Aaron Wise,56.0,4.63,113.0,9.35,68.81,147.90895960597612
Gary Woodland,14.0,4.52,73.0,10.31,70.51,145.94725756477638
Chase Wright,,,,,,
Martin Piller,359.0,4.64,269.0,9.73,60.39,151.72156333492904
Tyrone Van Aswegen,308.0,4.67,303.0,8.77,65.23,150.6470496237408
Chad Campbell,257.0,4.7,225.0,11.37,65.54,148.2010699366583
David Lingmerth,273.0,4.67,194.0,9.32,63.03,148.05988188105655
D.J. Trahan,,,,,,
George McNeill,,,,,,
Andres Romero,,,,,,
Parker McLachlin,,,,,,
Daniel Chopra,,,,,,
Boo Weekley,,,,,,
